"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PG0002","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PP0049","ACCT_PP0050","ACCT_PP0051","ACCT_PP0052","ACCT_PP0053","ACCT_PP0054","ACCT_PP0055","ACCT_PP0056","ACCT_PP0057","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","ACCT_PS0001","ACCT_PS0002","ACCT_PS0003","ACCT_PS0004","ACCT_PS0005","ACCT_PS0006","ACCT_PS0007","ACCT_PS0007A"
224,12/31/2023 0:00:00,119,"","Combination","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","1","Core processor"
227,12/31/2023 0:00:00,121,"549300FX7K8PTEQUU487","Combination","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2023  5:00AM","1","0","0","0","0","0","1","Fedline Command"
233,12/31/2023 0:00:00,124,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","0","0","0","0","0","0",""
234,12/31/2023 0:00:00,125,"254900mc3k81xoe85m60","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2020  5:00AM","0","1","0","0","0","0","0",""
240,12/31/2023 0:00:00,128,"5493001XNU40KOITE062","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  8 2024  5:00AM","0","0","0","0","0","0","0",""
242,12/31/2023 0:00:00,129,"","Combination","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
256,12/31/2023 0:00:00,136,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
258,12/31/2023 0:00:00,137,"549300ODE6V13YFWTW21","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2024  6:00AM","1","1","0","0","0","0","0",""
262,12/31/2023 0:00:00,139,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
266,12/31/2023 0:00:00,143,"","Combination","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","","","1","0","0","0","0","0","0",""
274,12/31/2023 0:00:00,149,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
277,12/31/2023 0:00:00,152,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
287,12/31/2023 0:00:00,154,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
288,12/31/2023 0:00:00,155,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
294,12/31/2023 0:00:00,160,"5493003GJY287GiWFH36","Combination","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2023  5:00AM","1","1","0","0","0","0","0",""
303,12/31/2023 0:00:00,166,"549300JUZBXW5SUK5V79","Combination","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 30 2023  5:00AM","0","1","0","0","0","0","0",""
306,12/31/2023 0:00:00,168,"25490053IH908EDF8D65","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2023  5:00AM","0","1","0","0","0","0","0",""
319,12/31/2023 0:00:00,173,"","Automated","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","0","0","0","0","0","0",""
320,12/31/2023 0:00:00,174,"549300DNWSJUNAWUM003","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 10 2024  5:00AM","1","1","0","0","0","0","0",""
340,12/31/2023 0:00:00,183,"549300wkoe38pnusod49","Automated","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2023  5:00AM","1","1","0","1","0","0","0",""
352,12/31/2023 0:00:00,188,"549300SCF56K6YEG7X54","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  2 2023  5:00AM","1","1","0","0","0","0","0",""
361,12/31/2023 0:00:00,193,"549300XOP6YO0UN0TY92","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2023  5:00AM","1","1","0","1","0","0","0",""
365,12/31/2023 0:00:00,197,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","1","0","0","0","0","0",""
367,12/31/2023 0:00:00,199,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
370,12/31/2023 0:00:00,201,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
373,12/31/2023 0:00:00,203,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","0","0","0","0","0",""
376,12/31/2023 0:00:00,206,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
378,12/31/2023 0:00:00,208,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","1","Tampa Bay Federal Credit Union"
383,12/31/2023 0:00:00,211,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","1","SWBC"
389,12/31/2023 0:00:00,214,"549300CAVVHZY16D5T08","Combination","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 17 2024  5:00AM","0","1","0","0","0","0","0",""
390,12/31/2023 0:00:00,215,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
395,12/31/2023 0:00:00,217,"549300W8FXJXRVKIT387","Automated","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 22 2023  5:00AM","0","1","0","0","0","0","0",""
404,12/31/2023 0:00:00,222,"549300MUEGVFZ2155D91","Combination","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2023  6:00AM","1","1","0","0","0","0","0",""
422,12/31/2023 0:00:00,229,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
430,12/31/2023 0:00:00,232,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
435,12/31/2023 0:00:00,235,"","Combination","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","1","0","0","0","0","0","1","Fiserv WireXchange"
444,12/31/2023 0:00:00,239,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
452,12/31/2023 0:00:00,240,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
464,12/31/2023 0:00:00,246,"","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  5:00AM","0","1","0","0","0","0","0",""
473,12/31/2023 0:00:00,252,"549300NAZLKUFCJIO704","Combination","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2024  6:00AM","0","1","0","0","0","0","0",""
475,12/31/2023 0:00:00,253,"","","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
477,12/31/2023 0:00:00,255,"","Combination","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","0","0","0","0","0","1","0",""
479,12/31/2023 0:00:00,256,"254900IO17FEFA74V155","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  9 2024  5:00AM","0","0","0","0","0","0","1","Fiserv Galaxy"
484,12/31/2023 0:00:00,257,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
489,12/31/2023 0:00:00,259,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
490,12/31/2023 0:00:00,260,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","0","1","0","0","0","0","0",""
511,12/31/2023 0:00:00,271,"549300ISBO500DQ50239","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 16 2023  5:00AM","1","1","0","0","0","0","0",""
514,12/31/2023 0:00:00,272,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
517,12/31/2023 0:00:00,274,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
524,12/31/2023 0:00:00,276,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
528,12/31/2023 0:00:00,277,"549300DEVPMBR765WH45","Combination","1","1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 18 2024  7:00AM","1","0","0","0","0","0","0",""
538,12/31/2023 0:00:00,282,"","Automated","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
566,12/31/2023 0:00:00,290,"549300F6NSBOJBM9ED39","Automated","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","1","1","0","0","0","1","EPP / Billing Tree, SWBC"
567,12/31/2023 0:00:00,291,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
577,12/31/2023 0:00:00,293,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
594,12/31/2023 0:00:00,302,"549300LNJJYJMOPHAH96","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","1","1","0","0","0","0","0",""
606,12/31/2023 0:00:00,307,"","Combination","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","","1","0","0","0","0","0","0",""
609,12/31/2023 0:00:00,309,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
613,12/31/2023 0:00:00,311,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
616,12/31/2023 0:00:00,314,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
619,12/31/2023 0:00:00,316,"549300SY0ZRUCS4CSY07","Automated","1","1","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2023  5:00AM","1","0","0","0","0","0","0",""
620,12/31/2023 0:00:00,317,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
624,12/31/2023 0:00:00,321,"549300TULDV69V2XKY60","Automated","1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan 30 2024  5:00AM","1","0","0","0","0","0","0",""
640,12/31/2023 0:00:00,328,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
644,12/31/2023 0:00:00,330,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
648,12/31/2023 0:00:00,334,"","","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
649,12/31/2023 0:00:00,335,"254900C93QPBEWPGBI16","Combination","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 12 2020  5:00AM","0","1","0","0","0","0","0",""
663,12/31/2023 0:00:00,341,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
665,12/31/2023 0:00:00,342,"","Combination","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
678,12/31/2023 0:00:00,348,"","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
680,12/31/2023 0:00:00,349,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
687,12/31/2023 0:00:00,352,"","Combination","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
690,12/31/2023 0:00:00,353,"549300SP39BCL43JUN40","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  7 2023  5:00AM","0","1","0","0","0","0","0",""
716,12/31/2023 0:00:00,364,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
722,12/31/2023 0:00:00,366,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","0","0","0","0","0","0",""
761,12/31/2023 0:00:00,375,"","Combination","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
770,12/31/2023 0:00:00,378,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","0","1","0","0","0","0","0",""
785,12/31/2023 0:00:00,386,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
794,12/31/2023 0:00:00,390,"5493008YRTIU0FNCTY07","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2023  5:00AM","1","1","0","0","0","0","0",""
795,12/31/2023 0:00:00,391,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
798,12/31/2023 0:00:00,393,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
808,12/31/2023 0:00:00,398,"549300H6J0XZXQGKDW16","Automated","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 13 2023  7:00AM","1","1","0","0","0","0","1","3rd Party - Magic Wrighter"
817,12/31/2023 0:00:00,401,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
818,12/31/2023 0:00:00,402,"","Automated","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0",""
832,12/31/2023 0:00:00,409,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
838,12/31/2023 0:00:00,413,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","1","0",""
839,12/31/2023 0:00:00,414,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0",""
841,12/31/2023 0:00:00,416,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
845,12/31/2023 0:00:00,418,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
850,12/31/2023 0:00:00,420,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","0","0","0","0","0","0",""
